setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_smollm,LEX+SINK,,0.8187505711704612,0.0015004080459506,0.824969400244798,1634,817,0.5
truthfulqa_smollm,0D+1D,144.0,0.588150516338097,0.0017512648915702,0.6462668298653611,1634,817,0.5
truthfulqa_smollm,0D+SINK,96.0,0.6408225453902611,0.0027313724303919,0.6695226438188494,1634,817,0.5
truthfulqa_smollm,PH_ENT,768.0,0.834060186759632,0.0006651288859154,0.8433292533659731,1634,817,0.5
truthfulqa_smollm,PH_SINK,768.0,0.7197541832150043,0.000901262107084,0.7760097919216646,1634,817,0.5
truthfulqa_smollm,SINK+1D,144.0,0.6321437506835319,0.0028438990288353,0.6450428396572827,1634,817,0.5
truthfulqa_smollm,PH_0DTOT,768.0,0.8189453309342926,0.0017840082601862,0.8457772337821298,1634,817,0.5
truthfulqa_smollm,LOOKBACK,768.0,0.8631557973240008,0.0016926445502053,0.8653610771113831,1634,817,0.5
truthfulqa_smollm,LLMCHECK,24.0,0.6035470247449771,0.0005831077657499,0.6854345165238678,1634,817,0.5
truthfulqa_smollm,LEGACY_MSTPROXY,24.0,0.5845759255957776,0.0011317705419062,0.6805385556915544,1634,817,0.5
truthfulqa_smollm,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_smollm,HIDDEN,2048.0,0.893846939799757,0.0021708253350262,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LOGPROB,6.0,0.5885894748827322,0.000995439321806,0.591187270501836,1634,817,0.5
truthfulqa_smollm,ROWSTAT,48.0,0.6733144666054421,0.0013153014534875,0.7417380660954712,1634,817,0.5
truthfulqa_smollm,ANS,144.0,0.6286560527589219,0.0033935323563306,0.6340269277845777,1634,817,0.5
truthfulqa_smollm,DEFL,144.0,0.5920547005269001,0.0024150787953141,0.6560587515299877,1634,817,0.5
truthfulqa_smollm,1D,96.0,0.5448164688856296,0.0006464826421431,0.5685434516523867,1634,817,0.5
truthfulqa_smollm,SINK,48.0,0.6106317856923484,0.0020497986671573,0.631578947368421,1634,817,0.5
truthfulqa_smollm,0D,48.0,0.5838073736046586,0.0027875444552986,0.6548347613219094,1634,817,0.5
truthfulqa_smollm,PH_0D,1536.0,0.7983022941202027,0.0010830505196594,0.8200734394124847,1634,817,0.5
truthfulqa_smollm,SINK+ANS,192.0,0.6462278779125948,0.0023823944169152,0.6548347613219094,1634,817,0.5
halueval_qwen3b,LOGPROB+0D,78.0,0.993065,0.0002615904347554,0.99,2000,1000,0.5
halueval_qwen3b,LEX+DEFL,,0.970322,0.000451324224428,0.977,2000,1000,0.5
halueval_qwen3b,SINK+1D,216.0,0.841701,0.000423781652374,0.938,2000,1000,0.5
halueval_qwen3b,SINK+ANS,288.0,0.977947,0.0006581509451992,0.977,2000,1000,0.5
halueval_qwen3b,SINK+DEFL,288.0,0.882169,0.002641969845904,0.961,2000,1000,0.5
halueval_qwen3b,0D+1D,216.0,0.829679,0.0023057170010408,0.944,2000,1000,0.5
halueval_qwen3b,0D+SINK,144.0,0.857562,0.0008970352402343,0.946,2000,1000,0.5
halueval_qwen3b,LEGACY_MSTPROXY,36.0,0.732978,9.21821867583804e-05,0.96,2000,1000,0.5
halueval_qwen3b,LEX+0D,,0.978624,6.322973983815687e-05,0.983,2000,1000,0.5
halueval_qwen3b,HIDDEN,2048.0,0.999309,2.9959231558158575e-05,0.999,2000,1000,0.5
halueval_qwen3b,LOGPROB,6.0,0.993446,0.0002548010116847,0.986,2000,1000,0.5
halueval_qwen3b,ROWSTAT,72.0,0.829868,0.0002757901778929,0.975,2000,1000,0.5
halueval_qwen3b,ANS,216.0,0.974079,0.0007597802313827,0.9735,2000,1000,0.5
halueval_qwen3b,DEFL,216.0,0.831571,9.024780699088016e-05,0.958,2000,1000,0.5
halueval_qwen3b,1D,144.0,0.708644,0.0010494115811571,0.892,2000,1000,0.5
halueval_qwen3b,SINK,72.0,0.827338,0.0007655094164454,0.93,2000,1000,0.5
halueval_qwen3b,0D,72.0,0.816328,0.0008516753424215,0.929,2000,1000,0.5
