setting,bank,dim,auc,auc_seed_sd,within_pair_acc,n_rows,n_groups,pos_rate
truthfulqa_tinyllama,PH_0D,1408.0,0.805790057963502,0.0014711691891595,0.8200734394124847,1634,817,0.5
truthfulqa_tinyllama,PH_0DTOT,704.0,0.8036506968654165,0.0021157041131379,0.8298653610771114,1634,817,0.5
truthfulqa_tinyllama,LEX+DEFL,,0.8255716573606456,0.0011926960924588,0.8457772337821298,1634,817,0.5
truthfulqa_tinyllama,LLMCHECK,22.0,0.6144565678235896,0.0005377709637725,0.7050183598531212,1634,817,0.5
truthfulqa_tinyllama,LEN,2.0,0.522706741234687,0.0005038445620911,0.5563035495716034,1634,817,0.5
truthfulqa_tinyllama,1D,88.0,0.5915258528604965,0.000574636299947,0.6731946144430845,1634,817,0.5
truthfulqa_tinyllama,LOGPROB+0D,50.0,0.682836720904764,0.0010150139395897,0.7111383108935129,1634,817,0.5
truthfulqa_tinyllama,NONTOPO+0D,2868.0,0.8848864925114871,0.0011250021180798,0.8886168910648715,1634,817,0.5
truthfulqa_tinyllama,NONTOPO,2824.0,0.8847726329572473,0.0011095245106854,0.8873929008567931,1634,817,0.5
truthfulqa_tinyllama,PH_SINK+PH_0DTOT,1408.0,0.8104478126231294,0.0030705783112268,0.8408812729498164,1634,817,0.5
truthfulqa_tinyllama,NONTOPO+DEFL,2956.0,0.8839007084760947,0.0009735001673317,0.8849449204406364,1634,817,0.5
truthfulqa_tinyllama,LEX+0D,,0.8295926974077475,0.0011530963865077,0.835985312117503,1634,817,0.5
truthfulqa_tinyllama,HIDDEN+0D,2092.0,0.8825448808894228,0.0013722747295938,0.8800489596083231,1634,817,0.5
truthfulqa_tinyllama,0D+1D,132.0,0.660297023621363,0.0010318460397305,0.7441860465116279,1634,817,0.5
truthfulqa_tinyllama,0D+SINK,88.0,0.663206434862597,0.0003688443670553,0.7282741738066095,1634,817,0.5
truthfulqa_tinyllama,PH_ENT,704.0,0.816678626913702,0.000792809194974,0.8384332925336597,1634,817,0.5
truthfulqa_tinyllama,PH_SINK,704.0,0.8079174338453518,0.0015184573745525,0.8408812729498164,1634,817,0.5
truthfulqa_tinyllama,LEX+SINK,,0.8308271746800322,0.0011095654175078,0.8323133414932681,1634,817,0.5
truthfulqa_tinyllama,HIDDEN,2048.0,0.8828999429204076,0.0012723418662029,0.8788249694002448,1634,817,0.5
truthfulqa_tinyllama,SINK,44.0,0.6433394407997735,0.0005826983308341,0.7184822521419829,1634,817,0.5
truthfulqa_tinyllama,0D,44.0,0.6537201362119825,0.0010948620582778,0.7294981640146879,1634,817,0.5
truthfulqa_tinyllama,LOGPROB,6.0,0.6366277197077405,0.0010160107283063,0.6450428396572827,1634,817,0.5
truthfulqa_tinyllama,DEFL,132.0,0.651234701995089,0.0019224441108878,0.7050183598531212,1634,817,0.5
truthfulqa_tinyllama,ANS,132.0,0.643811358689057,0.0048653635265443,0.6780905752753978,1634,817,0.5
truthfulqa_tinyllama,ROWSTAT,44.0,0.6606820486929372,0.001548399856525,0.7490820073439413,1634,817,0.5
truthfulqa_smollm,0D+SINK,96.0,0.6409453938566778,0.0025595418705412,0.6621787025703795,1634,817,0.5
truthfulqa_smollm,SINK+1D,144.0,0.6288433217626058,0.0012736315084677,0.6499388004895961,1634,817,0.5
truthfulqa_smollm,NONTOPO,2894.0,0.8992387889538255,0.0014843137756295,0.9033047735618116,1634,817,0.5
truthfulqa_smollm,PH_SINK+PH_0DTOT,1536.0,0.825661546482414,0.0023084360619923,0.8543451652386781,1634,817,0.5
truthfulqa_smollm,1D,96.0,0.5433812392413957,0.0014807912302321,0.5813953488372093,1634,817,0.5
truthfulqa_smollm,SINK,48.0,0.6108625011048872,0.001944551446511,0.627906976744186,1634,817,0.5
truthfulqa_smollm,0D,48.0,0.582862039674062,0.0028838915072504,0.6560587515299877,1634,817,0.5
truthfulqa_smollm,LEN,2.0,0.5240011445881505,0.0002676688975773,0.554467564259486,1634,817,0.5
truthfulqa_smollm,LEX+SINK,,0.8189288512619683,0.0014992813768969,0.8261933904528764,1634,817,0.5
truthfulqa_smollm,LEX+0D,,0.8267971457207535,0.0008440517564605,0.8384332925336597,1634,817,0.5
truthfulqa_smollm,HIDDEN+0D,2096.0,0.8937885118706076,0.0020358345734313,0.8910648714810282,1634,817,0.5
truthfulqa_smollm,LOGPROB+0D,54.0,0.6134288355313721,0.0009442708557832,0.6303549571603427,1634,817,0.5
truthfulqa_smollm,HIDDEN,2048.0,0.8937420691576939,0.0021692355031,0.8922888616891065,1634,817,0.5
truthfulqa_smollm,LEX,,0.8200734394124847,0.001369954612001,0.8292533659730722,1634,817,0.5
truthfulqa_smollm,ROWSTAT,48.0,0.6732155885714971,0.0013809496642567,0.7405140758873929,1634,817,0.5
truthfulqa_smollm,LOGPROB,6.0,0.5883452761019282,0.0009685235842111,0.5924112607099143,1634,817,0.5
truthfulqa_smollm,LEGACY_MSTPROXY,24.0,0.5846283609168091,0.0010694926223985,0.6744186046511628,1634,817,0.5
truthfulqa_smollm,LLMCHECK,24.0,0.6039080793840798,0.0004318854696302,0.6842105263157895,1634,817,0.5
truthfulqa_smollm,NONTOPO+0D,2942.0,0.8991953425449708,0.0012997353181413,0.9020807833537332,1634,817,0.5
truthfulqa_smollm,NONTOPO+DEFL,3038.0,0.8985151815235907,0.0011731904732401,0.8996328029375765,1634,817,0.5
truthfulqa_smollm,0D+1D,144.0,0.5875872111750157,0.0018589220797299,0.642594859241126,1634,817,0.5
truthfulqa_smollm,SINK+DEFL,192.0,0.6521350913648015,0.002165463582834,0.6805385556915544,1634,817,0.5
truthfulqa_smollm,SINK+ANS,192.0,0.6464585933251334,0.0020653415423367,0.6511627906976745,1634,817,0.5
truthfulqa_smollm,LEX+DEFL,,0.8219596128175896,9.27188150638298e-05,0.8445532435740514,1634,817,0.5
truthfulqa_smollm,PH_0DTOT,768.0,0.8189453309342926,0.0018557439051549,0.8445532435740514,1634,817,0.5
