setting,example,layer,head,ours,native,abs_diff
truthfulqa_mistral,0,5,5,0.0518465909090909,0.0518465909090909,0.0
truthfulqa_mistral,0,5,6,0.0461647727272727,0.0461647727272727,0.0
truthfulqa_mistral,0,5,7,0.2475142045454545,0.2475142045454545,0.0
truthfulqa_mistral,0,5,8,0.0276988636363636,0.0276988636363636,0.0
truthfulqa_mistral,0,5,9,0.0553977272727272,0.0553977272727272,0.0
truthfulqa_mistral,0,5,10,0.0131392045454545,0.0131392045454545,0.0
truthfulqa_mistral,0,5,11,0.0287642045454545,0.0287642045454545,0.0
truthfulqa_mistral,0,5,12,0.2084517045454545,0.2084517045454545,0.0
truthfulqa_mistral,0,5,13,0.1125710227272727,0.1125710227272727,0.0
truthfulqa_mistral,0,5,14,0.6068004261363636,0.6068004261363636,0.0
truthfulqa_mistral,0,5,15,0.2574573863636363,0.2574573863636363,0.0
truthfulqa_mistral,0,5,16,0.1370738636363636,0.1370738636363636,0.0
truthfulqa_mistral,0,5,17,0.0738636363636363,0.0738636363636363,0.0
truthfulqa_mistral,0,5,18,0.1370738636363636,0.1370738636363636,0.0
truthfulqa_mistral,0,5,19,0.0919744318181818,0.0919744318181818,0.0
truthfulqa_mistral,0,5,20,0.3371803977272727,0.3371803977272727,0.0
truthfulqa_mistral,0,5,21,0.0735085227272727,0.0735085227272727,0.0
truthfulqa_mistral,0,5,22,0.1022727272727272,0.1022727272727272,0.0
truthfulqa_mistral,0,5,23,0.2970525568181818,0.2970525568181818,0.0
truthfulqa_mistral,0,5,24,0.1938920454545454,0.1938920454545454,0.0
truthfulqa_mistral,0,5,25,0.1420454545454545,0.1420454545454545,0.0
truthfulqa_mistral,0,5,26,0.4591619318181818,0.4591619318181818,0.0
truthfulqa_mistral,0,5,27,0.3913352272727273,0.3913352272727273,0.0
truthfulqa_mistral,0,5,28,0.1875,0.1875,0.0
truthfulqa_mistral,0,5,29,0.4939630681818182,0.4939630681818182,0.0
truthfulqa_mistral,0,5,30,0.1512784090909091,0.1512784090909091,0.0
truthfulqa_mistral,0,5,31,0.2191051136363636,0.2191051136363636,0.0
truthfulqa_mistral,0,6,0,0.0941051136363636,0.0941051136363636,0.0
truthfulqa_mistral,0,6,1,0.0529119318181818,0.0529119318181818,0.0
truthfulqa_mistral,0,6,2,0.1519886363636363,0.1519886363636363,0.0
truthfulqa_mistral,0,6,3,0.1793323863636363,0.1793323863636363,0.0
truthfulqa_mistral,0,6,4,0.3046875,0.3046875,0.0
truthfulqa_mistral,0,6,5,0.140625,0.140625,0.0
truthfulqa_mistral,0,6,6,0.2404119318181818,0.2404119318181818,0.0
truthfulqa_mistral,0,6,7,0.2528409090909091,0.2528409090909091,0.0
truthfulqa_mistral,0,6,8,0.2418323863636363,0.2418323863636363,0.0
truthfulqa_mistral,0,6,9,0.4600497159090909,0.4600497159090909,0.0
truthfulqa_mistral,0,6,10,0.5008877840909091,0.5008877840909091,0.0
truthfulqa_mistral,0,6,11,0.4254261363636363,0.4254261363636363,0.0
truthfulqa_mistral,0,6,12,0.1553622159090909,0.1553622159090909,0.0
truthfulqa_mistral,0,6,13,0.171875,0.171875,0.0
truthfulqa_mistral,0,6,14,0.1970880681818181,0.1970880681818181,0.0
truthfulqa_mistral,0,6,15,0.1420454545454545,0.1420454545454545,0.0
truthfulqa_mistral,0,6,16,0.0784801136363636,0.0784801136363636,0.0
truthfulqa_mistral,0,6,17,0.0443892045454545,0.0443892045454545,0.0
truthfulqa_mistral,0,6,18,0.0276988636363636,0.0276988636363636,0.0
truthfulqa_mistral,0,6,19,0.3629261363636363,0.3629261363636363,0.0
truthfulqa_mistral,0,6,20,0.1345880681818181,0.1345880681818181,0.0
truthfulqa_mistral,0,6,21,0.6194957386363636,0.6194957386363636,0.0
truthfulqa_mistral,0,6,22,0.3764204545454545,0.3764204545454545,0.0
truthfulqa_mistral,0,6,23,0.322265625,0.322265625,0.0
truthfulqa_mistral,0,6,24,0.1747159090909091,0.1747159090909091,0.0
truthfulqa_mistral,0,6,25,0.080965909090909,0.080965909090909,0.0
truthfulqa_mistral,0,6,26,0.0245028409090909,0.0245028409090909,0.0
truthfulqa_mistral,0,6,27,0.0855823863636363,0.0855823863636363,0.0
truthfulqa_mistral,0,6,28,0.1477272727272727,0.1477272727272727,0.0
truthfulqa_mistral,0,6,29,0.4476207386363636,0.4476207386363636,0.0
truthfulqa_mistral,0,6,30,0.5253018465909091,0.5253018465909091,0.0
truthfulqa_mistral,0,6,31,0.2624289772727273,0.2624289772727273,0.0
truthfulqa_mistral,0,7,0,0.2679332386363636,0.2679332386363636,0.0
truthfulqa_mistral,0,7,1,0.1867897727272727,0.1867897727272727,0.0
truthfulqa_mistral,0,7,2,0.3355823863636363,0.3355823863636363,0.0
truthfulqa_mistral,0,7,3,0.3817471590909091,0.3817471590909091,0.0
truthfulqa_mistral,0,7,4,0.564453125,0.564453125,0.0
truthfulqa_mistral,0,7,5,0.5124289772727273,0.5124289772727273,0.0
truthfulqa_mistral,0,7,6,0.4158380681818182,0.4158380681818182,0.0
truthfulqa_mistral,0,7,7,0.345703125,0.345703125,0.0
truthfulqa_mistral,0,7,8,0.4421164772727273,0.4421164772727273,0.0
truthfulqa_mistral,0,7,9,0.447265625,0.447265625,0.0
truthfulqa_mistral,0,7,10,0.4303977272727273,0.4303977272727273,0.0
truthfulqa_mistral,0,7,11,0.3146306818181818,0.3146306818181818,0.0
truthfulqa_mistral,0,7,12,0.4334161931818182,0.4334161931818182,0.0
truthfulqa_mistral,0,7,13,0.6518110795454546,0.6518110795454546,0.0
truthfulqa_mistral,0,7,14,0.2221235795454545,0.2221235795454545,0.0
truthfulqa_mistral,0,7,15,0.3817471590909091,0.3817471590909091,0.0
truthfulqa_mistral,0,7,16,0.0010653409090909,0.0010653409090909,0.0
truthfulqa_mistral,0,7,17,0.1713423295454545,0.1713423295454545,0.0
truthfulqa_mistral,0,7,18,0.1535866477272727,0.1535866477272727,0.0
truthfulqa_mistral,0,7,19,0.2331321022727272,0.2331321022727272,0.0
truthfulqa_mistral,0,7,20,0.3192471590909091,0.3192471590909091,0.0
truthfulqa_mistral,0,7,21,0.2162642045454545,0.2162642045454545,0.0
truthfulqa_mistral,0,7,22,0.2116477272727272,0.2116477272727272,0.0
truthfulqa_mistral,0,7,23,0.05859375,0.05859375,0.0
truthfulqa_mistral,0,7,24,0.1583806818181818,0.1583806818181818,0.0
truthfulqa_mistral,0,7,25,0.1001420454545454,0.1001420454545454,0.0
truthfulqa_mistral,0,7,26,0.1661931818181818,0.1661931818181818,0.0
truthfulqa_mistral,0,7,27,0.1867897727272727,0.1867897727272727,0.0
truthfulqa_mistral,0,7,28,0.3167613636363636,0.3167613636363636,0.0
truthfulqa_mistral,0,7,29,0.2141335227272727,0.2141335227272727,0.0
truthfulqa_mistral,0,7,30,0.3206676136363636,0.3206676136363636,0.0
truthfulqa_mistral,0,7,31,0.3171164772727273,0.3171164772727273,0.0
truthfulqa_mistral,0,8,0,0.2993607954545454,0.2993607954545454,0.0
truthfulqa_mistral,0,8,1,0.1168323863636363,0.1168323863636363,0.0
truthfulqa_mistral,0,8,2,0.2279829545454545,0.2279829545454545,0.0
truthfulqa_mistral,0,8,3,0.2325994318181818,0.2325994318181818,0.0
truthfulqa_mistral,0,8,4,0.4412286931818182,0.4412286931818182,0.0
truthfulqa_mistral,0,8,5,0.4236505681818182,0.4236505681818182,0.0
truthfulqa_mistral,0,8,6,0.3544034090909091,0.3544034090909091,0.0
truthfulqa_mistral,0,8,7,0.5023082386363636,0.5023082386363636,0.0
truthfulqa_mistral,0,8,8,0.2215909090909091,0.2215909090909091,0.0
truthfulqa_mistral,0,8,9,0.2201704545454545,0.2201704545454545,0.0
truthfulqa_mistral,0,8,10,0.369140625,0.369140625,0.0
truthfulqa_mistral,0,8,11,0.1097301136363636,0.1097301136363636,0.0
truthfulqa_mistral,0,8,12,0.3638139204545454,0.3638139204545454,0.0
truthfulqa_mistral,0,8,13,0.1257102272727272,0.1257102272727272,0.0
truthfulqa_mistral,0,8,14,0.4572088068181818,0.4572088068181818,0.0
truthfulqa_mistral,0,8,15,0.5614346590909091,0.5614346590909091,0.0
truthfulqa_mistral,0,8,16,0.0987215909090909,0.0987215909090909,0.0
truthfulqa_mistral,0,8,17,0.1221590909090909,0.1221590909090909,0.0
truthfulqa_mistral,0,8,18,0.1186079545454545,0.1186079545454545,0.0
truthfulqa_mistral,0,8,19,0.3213778409090909,0.3213778409090909,0.0
truthfulqa_mistral,0,8,20,0.3210227272727273,0.3210227272727273,0.0
truthfulqa_mistral,0,8,21,0.4192116477272727,0.4192116477272727,0.0
truthfulqa_mistral,0,8,22,0.2887073863636363,0.2887073863636363,0.0
truthfulqa_mistral,0,8,23,0.2963423295454545,0.2963423295454545,0.0
truthfulqa_mistral,0,8,24,0.092684659090909,0.092684659090909,0.0
truthfulqa_mistral,0,8,25,0.2112926136363636,0.2112926136363636,0.0
truthfulqa_mistral,0,8,26,0.3075284090909091,0.3075284090909091,0.0
truthfulqa_mistral,0,8,27,0.1946022727272727,0.1946022727272727,0.0
truthfulqa_mistral,0,8,28,0.0980113636363636,0.0980113636363636,0.0
truthfulqa_mistral,0,8,29,0.3036221590909091,0.3036221590909091,0.0
truthfulqa_mistral,0,8,30,0.2627840909090909,0.2627840909090909,0.0
truthfulqa_mistral,0,8,31,0.2530184659090909,0.2530184659090909,0.0
truthfulqa_mistral,0,9,0,0.0901988636363636,0.0901988636363636,0.0
truthfulqa_mistral,0,9,1,0.0369318181818181,0.0369318181818181,0.0
truthfulqa_mistral,0,9,2,0.1489701704545454,0.1489701704545454,0.0
truthfulqa_mistral,0,9,3,0.0230823863636363,0.0230823863636363,0.0
truthfulqa_mistral,0,9,4,0.5157137784090909,0.5157137784090909,0.0
truthfulqa_mistral,0,9,5,0.5266335227272727,0.5266335227272727,0.0
truthfulqa_mistral,0,9,6,0.4119318181818182,0.4119318181818182,0.0
truthfulqa_mistral,0,9,7,0.3739346590909091,0.3739346590909091,0.0
truthfulqa_mistral,0,9,8,0.2038352272727272,0.2038352272727272,0.0
truthfulqa_mistral,0,9,9,0.1264204545454545,0.1264204545454545,0.0
truthfulqa_mistral,0,9,10,0.1260653409090909,0.1260653409090909,0.0
truthfulqa_mistral,0,9,11,0.1981534090909091,0.1981534090909091,0.0
truthfulqa_mistral,0,9,12,0.2223011363636363,0.2223011363636363,0.0
truthfulqa_mistral,0,9,13,0.5248579545454546,0.5248579545454546,0.0
truthfulqa_mistral,0,9,14,0.5564630681818182,0.5564630681818182,0.0
truthfulqa_mistral,0,9,15,0.3243963068181818,0.3243963068181818,0.0
truthfulqa_mistral,0,9,16,0.2391690340909091,0.2391690340909091,0.0
truthfulqa_mistral,0,9,17,0.2178622159090909,0.2178622159090909,0.0
truthfulqa_mistral,0,9,18,0.2961647727272727,0.2961647727272727,0.0
truthfulqa_mistral,0,9,19,0.1983309659090909,0.1983309659090909,0.0
truthfulqa_mistral,0,9,20,0.1477272727272727,0.1477272727272727,0.0
truthfulqa_mistral,0,9,21,0.3805042613636363,0.3805042613636363,0.0
truthfulqa_mistral,0,9,22,0.4827769886363636,0.4827769886363636,0.0
truthfulqa_mistral,0,9,23,0.5871803977272727,0.5871803977272727,0.0
truthfulqa_mistral,0,9,24,0.2283380681818181,0.2283380681818181,0.0
truthfulqa_mistral,0,9,25,0.2993607954545454,0.2993607954545454,0.0
truthfulqa_mistral,0,9,26,0.1793323863636363,0.1793323863636363,0.0
truthfulqa_mistral,0,9,27,0.2885298295454545,0.2885298295454545,0.0
truthfulqa_mistral,0,9,28,0.1741832386363636,0.1741832386363636,0.0
truthfulqa_mistral,0,9,29,0.4087357954545454,0.4087357954545454,0.0
truthfulqa_mistral,0,9,30,0.7104936079545454,0.7104936079545454,0.0
truthfulqa_mistral,0,9,31,0.3396661931818182,0.3396661931818182,0.0
truthfulqa_mistral,0,10,0,0.3307883522727273,0.3307883522727273,0.0
truthfulqa_mistral,0,10,1,0.3117897727272727,0.3117897727272727,0.0
truthfulqa_mistral,0,10,2,0.1963778409090909,0.1963778409090909,0.0
truthfulqa_mistral,0,10,3,0.2704190340909091,0.2704190340909091,0.0
truthfulqa_mistral,0,10,4,0.2176846590909091,0.2176846590909091,0.0
truthfulqa_mistral,0,10,5,0.4694602272727273,0.4694602272727273,0.0
truthfulqa_mistral,0,10,6,0.5804332386363636,0.5804332386363636,0.0
truthfulqa_mistral,0,10,7,0.451171875,0.451171875,0.0
truthfulqa_mistral,0,10,8,0.1661931818181818,0.1661931818181818,0.0
truthfulqa_mistral,0,10,9,0.4176136363636363,0.4176136363636363,0.0
truthfulqa_mistral,0,10,10,0.3845880681818182,0.3845880681818182,0.0
truthfulqa_mistral,0,10,11,0.1335227272727272,0.1335227272727272,0.0
truthfulqa_mistral,0,10,12,0.3662997159090909,0.3662997159090909,0.0
truthfulqa_mistral,0,10,13,0.51171875,0.51171875,0.0
truthfulqa_mistral,0,10,14,0.4055397727272727,0.4055397727272727,0.0
truthfulqa_mistral,0,10,15,0.4142400568181818,0.4142400568181818,0.0
truthfulqa_mistral,0,10,16,0.3567116477272727,0.3567116477272727,0.0
truthfulqa_mistral,0,10,17,0.2709517045454545,0.2709517045454545,0.0
truthfulqa_mistral,0,10,18,0.1235795454545454,0.1235795454545454,0.0
truthfulqa_mistral,0,10,19,0.7017933238636364,0.7017933238636364,0.0
truthfulqa_mistral,0,10,20,0.5491832386363636,0.5491832386363636,0.0
truthfulqa_mistral,0,10,21,0.5662286931818182,0.5662286931818182,0.0
truthfulqa_mistral,0,10,22,0.6306818181818182,0.6306818181818182,0.0
truthfulqa_mistral,0,10,23,0.5062144886363636,0.5062144886363636,0.0
truthfulqa_mistral,0,10,24,0.5690696022727273,0.5690696022727273,0.0
truthfulqa_mistral,0,10,25,0.5257457386363636,0.5257457386363636,0.0
truthfulqa_mistral,0,10,26,0.4682173295454545,0.4682173295454545,0.0
