N,kind,trial,n_subsets,max_filtration_diff,uniqueness_violations,ripser_mst_diff
8,uniform,3,255,0.0,0,2.0435877878810516e-08
8,uniform,4,255,0.0,0,2.0435877878810516e-08
8,uniform,5,255,0.0,0,2.0435877878810516e-08
8,uniform,6,255,0.0,0,2.0435877878810516e-08
8,uniform,7,255,0.0,0,2.0435877878810516e-08
8,uniform,8,255,0.0,0,2.0435877878810516e-08
8,uniform,9,255,0.0,0,2.0435877878810516e-08
8,uniform,10,255,0.0,0,2.0435877878810516e-08
8,uniform,11,255,0.0,0,2.0435877878810516e-08
8,uniform,12,255,0.0,0,2.0435877878810516e-08
8,uniform,13,255,0.0,0,2.0435877878810516e-08
8,uniform,14,255,0.0,0,2.0435877878810516e-08
