example_id,label,mean_prob,min_prob
167,grounded,0.595703125,0.0016679763793945312
167,hallucinated,0.6787109375,3.3974647521972656e-06
168,grounded,0.66796875,0.004314422607421875
168,hallucinated,0.869140625,0.0
169,grounded,0.71923828125,0.00014603137969970703
169,hallucinated,0.48828125,3.933906555175781e-06
170,grounded,0.8740234375,0.0058746337890625
170,hallucinated,0.474609375,1.0728836059570312e-06
171,grounded,0.85693359375,0.0
171,hallucinated,0.6806640625,0.0
172,grounded,0.66552734375,6.753206253051758e-05
172,hallucinated,0.5947265625,5.960464477539063e-08
173,grounded,0.001476287841796875,0.001476287841796875
173,hallucinated,0.61083984375,2.9802322387695312e-06
174,grounded,0.86279296875,0.86279296875
174,hallucinated,0.55078125,5.960464477539063e-08
175,grounded,0.50390625,0.007427215576171875
175,hallucinated,0.55517578125,0.00013339519500732422
176,grounded,0.5419921875,0.0836181640625
176,hallucinated,0.371826171875,1.0728836059570312e-06
177,grounded,0.80126953125,0.00811004638671875
177,hallucinated,0.67236328125,0.0
178,grounded,0.9345703125,0.8251953125
178,hallucinated,0.66259765625,3.5762786865234375e-07
179,grounded,0.66650390625,0.0
179,hallucinated,0.9365234375,0.0
180,grounded,0.6669921875,0.000518798828125
180,hallucinated,0.9111328125,0.0
181,grounded,0.75,0.0012807846069335938
181,hallucinated,0.6494140625,0.0005860328674316406
182,grounded,8.374452590942383e-05,8.374452590942383e-05
182,hallucinated,0.88671875,0.0
183,grounded,0.7998046875,1.2516975402832031e-06
183,hallucinated,0.73388671875,0.0
184,grounded,0.0139923095703125,0.0139923095703125
184,hallucinated,0.5478515625,5.960464477539063e-08
185,grounded,0.78564453125,0.5712890625
185,hallucinated,0.494384765625,4.941225051879883e-05
186,grounded,0.5,1.2516975402832031e-06
186,hallucinated,0.677734375,0.0
187,grounded,0.9990234375,0.9970703125
187,hallucinated,0.56787109375,0.0
188,grounded,0.98974609375,0.96875
188,hallucinated,0.6611328125,0.0
189,grounded,0.5009765625,0.0017461776733398438
189,hallucinated,0.619140625,5.960464477539062e-07
190,grounded,0.8330078125,0.0004646778106689453
190,hallucinated,0.77099609375,0.0
191,grounded,0.8291015625,0.2017822265625
191,hallucinated,0.7451171875,1.1920928955078125e-07
192,grounded,0.5,5.960464477539063e-08
192,hallucinated,0.87939453125,0.00400543212890625
193,grounded,1.2099742889404297e-05,1.2099742889404297e-05
193,hallucinated,0.640625,0.01074981689453125
194,grounded,0.75,0.00017011165618896484
194,hallucinated,0.548828125,1.1920928955078125e-07
195,grounded,0.3916015625,0.000156402587890625
195,hallucinated,0.00838470458984375,0.0
196,grounded,0.830078125,0.0003771781921386719
196,hallucinated,0.8056640625,0.0
197,grounded,0.53173828125,0.0032138824462890625
197,hallucinated,0.58740234375,3.5762786865234375e-07
198,grounded,0.75537109375,0.0236053466796875
198,hallucinated,0.7392578125,1.7881393432617188e-07
199,grounded,0.75146484375,0.005336761474609375
199,hallucinated,0.5029296875,0.0
200,grounded,0.7841796875,0.1463623046875
200,hallucinated,0.77734375,0.0
201,grounded,0.89599609375,0.7919921875
201,hallucinated,0.76611328125,2.390146255493164e-05
202,grounded,0.85888671875,0.294921875
202,hallucinated,0.84228515625,4.947185516357422e-06
203,grounded,0.669921875,0.00977325439453125
203,hallucinated,0.340576171875,0.0
204,grounded,0.92041015625,0.8408203125
204,hallucinated,0.7744140625,0.0001392364501953125
205,grounded,0.81494140625,0.002437591552734375
205,hallucinated,0.552734375,2.86102294921875e-06
206,grounded,0.0004742145538330078,0.0004742145538330078
206,hallucinated,0.74560546875,2.86102294921875e-06
207,grounded,0.521484375,0.043060302734375
207,hallucinated,0.73779296875,0.01515960693359375
208,grounded,0.0,0.0
208,hallucinated,0.83642578125,2.658367156982422e-05
209,grounded,0.80126953125,0.005237579345703125
209,hallucinated,0.67919921875,3.516674041748047e-06
210,grounded,0.916015625,0.83251953125
210,hallucinated,0.361083984375,0.0
211,grounded,5.602836608886719e-06,5.602836608886719e-06
211,hallucinated,0.48876953125,0.0
212,grounded,0.5,5.960464477539063e-08
212,hallucinated,0.826171875,0.0
213,grounded,0.66796875,0.00667572021484375
213,hallucinated,0.74560546875,4.76837158203125e-07
214,grounded,0.66845703125,0.007015228271484375
214,hallucinated,0.89599609375,1.4901161193847656e-06
215,grounded,0.8671875,4.1544437408447266e-05
215,hallucinated,0.485107421875,2.384185791015625e-07
216,grounded,0.80029296875,0.0025119781494140625
216,hallucinated,0.57421875,5.960464477539063e-08
217,grounded,0.80810546875,0.24853515625
217,hallucinated,0.57275390625,4.398822784423828e-05
218,grounded,0.01300811767578125,0.01300811767578125
218,hallucinated,0.74609375,1.990795135498047e-05
219,grounded,0.857421875,0.443115234375
219,hallucinated,0.61767578125,0.0
220,grounded,0.75,0.0
220,hallucinated,0.6123046875,0.022491455078125
221,grounded,0.77001953125,0.08087158203125
