Dataset,Feature Set,Normalization,Classifier,Nested CV AUC,Mean AUC,Std AUC
TruthfulQA (Qwen2.5-3B),1D Only,clique,xgb,0.602 ± 0.102,0.6017777777777779,0.10193098609316954
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,xgb,0.714 ± 0.084,0.714,0.08356294293584185
TruthfulQA (Qwen2.5-3B),1D Only,clique,mlp,0.636 ± 0.134,0.6364444444444445,0.134216335411745
TruthfulQA (Qwen2.5-3B),0D + 1D,clique,mlp,0.708 ± 0.060,0.7084444444444444,0.059833513875720605
TruthfulQA (Qwen2.5-3B),1D Only,log,lr_l2,0.563 ± 0.098,0.5626666666666666,0.09838598715841501
TruthfulQA (Qwen2.5-3B),0D + 1D,log,lr_l2,0.694 ± 0.055,0.6937777777777778,0.05502681725562499
TruthfulQA (Qwen2.5-3B),1D Only,log,lr_l1,0.552 ± 0.083,0.5519999999999999,0.08330932987633763
TruthfulQA (Qwen2.5-3B),0D + 1D,log,lr_l1,0.696 ± 0.077,0.696,0.0768053496079216
TruthfulQA (Qwen2.5-3B),1D Only,log,svm,0.561 ± 0.089,0.5613333333333334,0.08931121893222875
TruthfulQA (Qwen2.5-3B),0D + 1D,log,svm,0.692 ± 0.063,0.6924444444444445,0.06262725316909704
TruthfulQA (Qwen2.5-3B),1D Only,log,rf,0.648 ± 0.087,0.6475555555555556,0.0873206097601757
TruthfulQA (Qwen2.5-3B),0D + 1D,log,rf,0.732 ± 0.074,0.732,0.07391820638089037
TruthfulQA (Qwen2.5-3B),1D Only,log,xgb,0.613 ± 0.062,0.6133333333333333,0.0617441955086658
TruthfulQA (Qwen2.5-3B),0D + 1D,log,xgb,0.760 ± 0.052,0.7597777777777777,0.052214656662381405
TruthfulQA (Qwen2.5-3B),1D Only,log,mlp,0.638 ± 0.119,0.6377777777777778,0.11861338795628905
TruthfulQA (Qwen2.5-3B),0D + 1D,log,mlp,0.728 ± 0.088,0.7275555555555556,0.08781686893265897
TruthfulQA (Qwen2.5-3B),1D Only,rank,lr_l2,0.600 ± 0.067,0.5995555555555555,0.06659106824770396
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,lr_l2,0.727 ± 0.041,0.7271111111111112,0.041416880914566204
TruthfulQA (Qwen2.5-3B),1D Only,rank,lr_l1,0.636 ± 0.071,0.6359999999999999,0.07067085941440342
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,lr_l1,0.724 ± 0.043,0.7244444444444444,0.04290673203963438
TruthfulQA (Qwen2.5-3B),1D Only,rank,svm,0.592 ± 0.068,0.5915555555555555,0.0682319935094352
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,svm,0.726 ± 0.052,0.7262222222222221,0.05221796672968719
TruthfulQA (Qwen2.5-3B),1D Only,rank,rf,0.631 ± 0.060,0.6306666666666667,0.05984176666039392
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,rf,0.706 ± 0.114,0.7057777777777778,0.11400324881660497
TruthfulQA (Qwen2.5-3B),1D Only,rank,xgb,0.627 ± 0.067,0.6271111111111111,0.06744581730252022
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,xgb,0.721 ± 0.077,0.7206666666666666,0.07728766212047943
TruthfulQA (Qwen2.5-3B),1D Only,rank,mlp,0.613 ± 0.102,0.6133333333333333,0.10160198306609453
TruthfulQA (Qwen2.5-3B),0D + 1D,rank,mlp,0.731 ± 0.062,0.731111111111111,0.061816135174412486
TruthfulQA (Qwen2.5-3B),1D Only,residualized,lr_l2,0.552 ± 0.101,0.5524444444444445,0.10074389973260581
TruthfulQA (Qwen2.5-3B),0D + 1D,residualized,lr_l2,0.690 ± 0.058,0.6902222222222223,0.058222222222222224
TruthfulQA (Qwen2.5-3B),1D Only,residualized,lr_l1,0.599 ± 0.076,0.5988888888888889,0.07588978362901862
